count,pairs
1001,"python,python3"
453,"ruby-on-rails,ruby"
451,"swift,xcode"
416,"javascript,jquery"
399,"javascript,html"
366,"swift,ios"
319,"html,css"
307,"ios,xcode"
280,"python,pandas"
278,"ios,swift"
260,"ios,objective-c"
200,"android,java"
175,"javascript,css"
151,"python,django"
150,"c#,.net"
148,"javascript,html5"
146,"python,numpy"
144,"php,mysql"
142,"php,laravel"
133,"monaca,onsen-ui"
130,"javascript,node.js"
126,"c#,visual-studio"
124,"python,matplotlib"
124,"swift,swift3"
119,"c#,unity3d"
115,"android,android-studio"
114,"c#,wpf"
113,"javascript,monaca"
112,"php,cakephp"
111,"html,jquery"
110,"python,tensorflow"
103,"java,spring"
103,"python,機械学習"
97,"java,android"
96,"linux,ubuntu"
94,"ios,iphone"
94,"javascript,php"
92,"php,html"
90,"swift,swift4"
90,"mysql,sql"
89,"linux,centos"
89,"python,anaconda"
88,"swift,realm"
86,"ruby-on-rails,rails-activerecord"
85,"java,spring-boot"
84,"javascript,vue.js"
81,"javascript,reactjs"
80,"c++,c"
79,"php,wordpress"
75,"jquery,css"
75,"objective-c,xcode"
75,"python,csv"
75,"java,eclipse"
74,"javascript,ajax"
73,"swift,swift2"
72,"php,apache"
70,"ruby,rubygems"
70,"javascript,angularjs"
69,"html,html5"
69,"monaca,cordova"
69,"python,opencv"
68,"python,jupyter-notebook"
67,"javascript,json"
67,"swift,objective-c"
67,"python,web-scraping"
67,"javascript,ruby-on-rails"
66,"python,windows"
65,"ios,monaca"
64,"android,kotlin"
63,"css,html5"
63,"python,macos"
62,"python,keras"
61,"c#,asp.net"
61,"ruby-on-rails,rubygems"
60,"javascript,typescript"
60,"python3,pandas"
59,"python,アルゴリズム"
59,"objective-c,iphone"
59,"ruby-on-rails,heroku"
57,"monaca,angularjs"
56,"android,monaca"
56,"java,android-studio"
55,"c++,visual-studio"
55,"java,kotlin"
54,"python3,numpy"
54,"python,selenium"
54,"swift,iphone"
54,"c++,c++11"
53,"ruby-on-rails,rspec"
53,"ios,swift3"
52,"docker,docker-compose"
51,"git,github"
51,"c#,windows"
51,"python,flask"
50,"spring,spring-boot"
50,"python,正規表現"
50,"ios,swift4"
